id,description,url
SDL_ACQUIRE,"Wrapper around Clang thread safety analysis annotations.
",https://wiki.libsdl.org/SDL3/SDL_ACQUIRE
SDL_ACQUIRED_AFTER,"Wrapper around Clang thread safety analysis annotations.
",https://wiki.libsdl.org/SDL3/SDL_ACQUIRED_AFTER
SDL_ACQUIRED_BEFORE,"Wrapper around Clang thread safety analysis annotations.
",https://wiki.libsdl.org/SDL3/SDL_ACQUIRED_BEFORE
SDL_ACQUIRE_SHARED,"Wrapper around Clang thread safety analysis annotations.
",https://wiki.libsdl.org/SDL3/SDL_ACQUIRE_SHARED
SDL_ALIGNED,"A macro to specify data alignment.
",https://wiki.libsdl.org/SDL3/SDL_ALIGNED
SDL_ALLOC_SIZE,"A macro to tag a function as returning a certain allocation.
",https://wiki.libsdl.org/SDL3/SDL_ALLOC_SIZE
SDL_ALPHA_OPAQUE,"A fully opaque 8-bit alpha value.
",https://wiki.libsdl.org/SDL3/SDL_ALPHA_OPAQUE
SDL_ALPHA_OPAQUE_FLOAT,"A fully opaque floating point alpha value.
",https://wiki.libsdl.org/SDL3/SDL_ALPHA_OPAQUE_FLOAT
SDL_ALPHA_TRANSPARENT,"A fully transparent 8-bit alpha value.
",https://wiki.libsdl.org/SDL3/SDL_ALPHA_TRANSPARENT
SDL_ALPHA_TRANSPARENT_FLOAT,"A fully transparent floating point alpha value.
",https://wiki.libsdl.org/SDL3/SDL_ALPHA_TRANSPARENT_FLOAT
SDL_ALTIVEC_INTRINSICS,"Defined if (and only if) the compiler supports PowerPC Altivec intrinsics.
",https://wiki.libsdl.org/SDL3/SDL_ALTIVEC_INTRINSICS
SDL_ANALYZER_NORETURN,"A macro to tag a function as never-returning (for analysis purposes).
",https://wiki.libsdl.org/SDL3/SDL_ANALYZER_NORETURN
SDL_ANDROID_EXTERNAL_STORAGE_READ,"See the official Android developer guide for more information: http://developer.android.com/guide/topics/data/data-storage.html
",https://wiki.libsdl.org/SDL3/SDL_ANDROID_EXTERNAL_STORAGE_READ
SDL_ANDROID_EXTERNAL_STORAGE_WRITE,"See the official Android developer guide for more information: http://developer.android.com/guide/topics/data/data-storage.html
",https://wiki.libsdl.org/SDL3/SDL_ANDROID_EXTERNAL_STORAGE_WRITE
SDL_ASSERT_CAPABILITY,"Wrapper around Clang thread safety analysis annotations.
",https://wiki.libsdl.org/SDL3/SDL_ASSERT_CAPABILITY
SDL_ASSERT_LEVEL,"The level of assertion aggressiveness.
",https://wiki.libsdl.org/SDL3/SDL_ASSERT_LEVEL
SDL_ASSERT_SHARED_CAPABILITY,"Wrapper around Clang thread safety analysis annotations.
",https://wiki.libsdl.org/SDL3/SDL_ASSERT_SHARED_CAPABILITY
SDL_AUDIO_BITSIZE,"Retrieve the size, in bits, from an [SDL_AudioFormat](SDL_AudioFormat).
",https://wiki.libsdl.org/SDL3/SDL_AUDIO_BITSIZE
SDL_AUDIO_BYTESIZE,"Retrieve the size, in bytes, from an [SDL_AudioFormat](SDL_AudioFormat).
",https://wiki.libsdl.org/SDL3/SDL_AUDIO_BYTESIZE
SDL_AUDIO_DEVICE_DEFAULT_PLAYBACK,"A value used to request a default playback audio device.
",https://wiki.libsdl.org/SDL3/SDL_AUDIO_DEVICE_DEFAULT_PLAYBACK
SDL_AUDIO_DEVICE_DEFAULT_RECORDING,"A value used to request a default recording audio device.
",https://wiki.libsdl.org/SDL3/SDL_AUDIO_DEVICE_DEFAULT_RECORDING
